fid;Norm Integrate;Norm Integrate;Norm Public Green;Norm Public Area;Norm public amenities;PM10_normnew;PM25_normnew;NO2_normnew;SO2_normnew;BAP_normnew;BZN_normnew;Treec_norm;Buildings_clipped_intersected_NEW_pc;n_weighed_uniq_bio_hab;Normalized_eco_corr_overlap_area;N_round_m_floodpplain biotope value;Floodplain_restoration_rounded;Percentage_habitat_n;n_w_length;majority_value;Imper_norm;LST_norm;Floodplain Norm;NDVI_norm
1;0,0717;0,0717;0,0000;0,0000;0,0000;0,1670;0,2000;0,2290;0,2000;0,0630;2,0000;0,4580;0,0762;0,3000;0,1000;0,0000;0,0000;0,7000;0,0000;0,0000;0,0000;0,6840;0,0000;0,2710
2;0,0786;0,0786;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0310;0,8000;0,0000;0,0000;0,4000;0,0000;0,0000;0,0000;0,2000;0,0000;0,0000;0,0000;0,6240;0,0000;0,1600
3;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;0,8000;0,0000;0,0000;0,4000;0,0000;0,0000;0,0000;0,5000;0,0000;0,0000;0,0000;0,6830;0,0000;0,2220
4;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,1200;0,1430;0,2000;0,0630;0,8000;0,0000;0,0000;0,5000;0,0000;0,0000;0,0000;0,3000;0,0000;0,0000;0,0000;0,6840;0,0000;0,1990
5;0,0750;0,0750;0,0000;0,0000;0,0000;0,1670;0,1200;0,1430;0,2000;0,0630;0,8000;0,9040;0,4012;0,4000;0,0000;0,0000;0,0000;0,3000;0,0000;0,0000;0,0000;0,6840;0,0000;0,2130
6;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,2000;0,2290;0,2000;0,0630;2,0000;0,0710;0,4796;0,1000;0,5000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0400;0,6840;0,0000;0,1890
7;0,2139;0,2139;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0310;0,8000;0,3580;0,0000;0,8000;0,8000;0,0000;0,0000;0,9000;0,0000;0,0000;0,0000;0,6240;0,0000;0,2350
8;0,4102;0,4102;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;0,8000;0,7030;6,3928;0,5000;0,1000;0,0000;0,0000;0,2000;0,0000;0,0000;0,1100;0,6240;0,0000;0,3630
9;0,1508;0,1508;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;0,8000;0,7070;10,6155;0,4000;0,1000;0,0000;0,1000;0,1000;0,0000;0,0000;0,1970;0,6750;0,0000;0,3130
10;0,1674;0,1674;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;0,8000;0,3930;2,5107;0,1000;0,0000;0,1000;0,2000;0,1000;0,0000;0,0000;0,0080;0,6840;0,0000;0,2530
